Material,Quantity,Frequency,Description,Location
FD14P6,187.0,0.1968503937007874,FREE DAMM 1/4 PACK 6U.,660-036-10
0RF0228,443.0,0.1889763779527559,RBLISS TON WTR VR20 C24,660-038-10
0RF0478,329.0,0.1889763779527559,COCACOLA ZER BIB10L,660-039-10
0AG0017,430.0,0.1837270341207349,AQUABONA VR50 C20,660-040-10
0RF0113,119.0,0.1837270341207349,FANTA NAR LATA33 C24,660-041-10
GCN1KB6,711.0,0.18110236220472442,GARRIGA CREME NATURAL BOLSA 1KG,660-042-10
0RF1669,370.0,0.1784776902887139,FUZE GTM PET1.5L C6,660-043-10
VO13P6,202.0,0.17585301837270342,VOLL DAMM 1/3 SR PACK CESTA ABIERTA 6U.,680-002-10
OL20,170.0,0.17585301837270342,ORO BARRIL 20L. RET,680-004-10
0LT0100,86.0,0.17585301837270342,YOSOY SOJA 1L BRIK 6U,680-006-10
0VE0465,173.0,0.1732283464566929,SOLAR DE ZUNIL BLANCO 75CL 6U,680-008-10
0AM1281,258.0,0.17060367454068243,BARGALLO OLIVA SANSA SUAVE 5L,680-010-10
0RF0038,104.0,0.1679790026246719,SPRITE PET2L C6,680-012-10
0VE0543,233.0,0.16535433070866143,IRREVERENTE TINTO ROBLE 75CL 6U,680-014-10
0RF0014,129.0,0.16272965879265092,ZALA GASEOSA 50CL VID. RET 20U,680-015-10
0LT0021,262.0,0.16010498687664043,CACAOLAT MINIBRIK SLIM 20CL P6 24U,680-016-10
0VE0625,119.0,0.16010498687664043,CONDESA LEGANZA BLANCO VERDEJO  75CL 6U,680-017-10
EDI13P6,116.0,0.15748031496062992,INEDIT DAMM 1/3 SR CESTA ABIERTA 2X3,680-018-10
0RF1650,95.0,0.15748031496062992,FUZE GTM VR30 C24,680-019-10
0RF0233,421.0,0.15485564304461943,RBLISS LEM MIX VR20 C24 HT,680-020-10
0AM1278,153.0,0.15485564304461943,BARGALLO ACEITE VIRGEN EXTRA 5L,680-021-10
0VE0198,109.0,0.15485564304461943,MONTERIO TINTO S.R. 75CL 12U,680-022-10
0AM1276,226.0,0.15223097112860892,BARGALLO ACEITE OLIVA SUAVE 5L,680-023-10
GD500B6,156.0,0.15223097112860892,GARRIGA DESCAFEINADO 500G BOLSA 6U,680-024-10
0AM1285,120.0,0.15223097112860892,BARGALLO RUGIN ACEITE FREIR A.OLEICO 25L,680-025-10
0AG0181,243.0,0.14960629921259844,FONT D.OR NATURAL 30CL RET 24U,680-026-10
0AM1280,197.0,0.14960629921259844,BARGALLO ACEITE DE ORUJO EXTRA 5L,680-027-10
0RF0482,136.0,0.14960629921259844,TRINA NARANJA SLEEK 33CL 24U,680-028-10
FTZ15B24,92.0,0.14960629921259844,FEVERTREE SICILIAN LEMONADE 1/5 BJ-24U.,680-029-10
0RF1644,335.0,0.14698162729658792,FUZE LSA BIB5L,680-030-10
0RF0189,142.0,0.14698162729658792,COCACOLA ZZ PET50 C24 (SIN HC4) PINCODE,680-031-10
DL13SR,140.0,0.14698162729658792,DAMM LEMON 1/3 SR CAJA 24U.,680-033-10
0VE0531,144.0,0.14435695538057744,PRIOR  BLANCO VERDEJO 75CL 6U,680-034-10
VE32P6,577.0,0.14173228346456693,"AGUA VERI 1,5L PET PACK 6U.",680-035-10
0AG0053,388.0,0.14173228346456693,AQUABONA SINGULAR PET50 C12,680-036-10
0RF0043,95.0,0.14173228346456693,FANTA LIM PET1L C12,680-037-10
0ZU0031,65.0,0.14173228346456693,JUVER NECTAR MELOCOTON 20CL 24U,680-038-10
0VE2133,296.0,0.13910761154855644,MONTERIO TINTO ROSCA 75CL 6U,680-039-10
0RF0012,246.0,0.13910761154855644,FUENTPINOS GASEOSA  500 PET 12U,680-041-10
0ZU0009,76.0,0.13910761154855644,GRANINI MELOCOTON 1L PET 6U,680-040-10
0ZU0142,229.0,0.13648293963254593,MINUTE MAID MAN VNR20 C24,680-042-10
0VE0643,139.0,0.13648293963254593,RIGOL CAVA BRUT NATURE 75CL 6U,680-043-10
0RF0213,255.0,0.13385826771653545,MONSTER ENERGY LATA25 C24,600-050-10
DL13LT,91.0,0.13385826771653545,DAMM LEMON 1/3 LATA LC,600-051-10
0VE0025,138.0,0.13123359580052493,CASTELL D´ORDAL BRUT 75CL 6U,600-052-10
0RF1594,154.0,0.12860892388451445,AQUARIUS MEL ROJO PET1.5L C6,600-053-10
0RF0422,127.0,0.12860892388451445,COCA COLA BIB20L,600-054-10
0ZU0032,64.0,0.12860892388451445,JUVER NECTAR PIÑA 20CL 24U,600-055-10
0VE3263,715.0,0.12598425196850394,IRREVERENTE VERMUT RESERVA 1L 1U,600-056-10
0RF0237,139.0,0.12598425196850394,RBLISS GINGER ALE VNR20 C24,600-057-10
GSS1KB6,510.0,0.12335958005249344,GARRIGA S.SUPERIOR NATURAL BOLSA 1KG,600-058-10
0RF1350,256.0,0.12073490813648294,SPRITE S/A BIB5L,600-059-10
FTM15B24,120.0,0.11811023622047244,FEVERTREE MEDITERRANEAN TONIC 1/5 B-24U.,600-060-10
0RF0221,356.0,0.11548556430446194,COCACOLA VNR20 C24,600-061-10
FDT13LT,84.0,0.11548556430446194,FREE DAMM TOSTADA 1/3 LATA LC,600-062-10
0RF0428,150.0,0.11286089238845144,FANTA LIM ZERO BIB 5L,600-063-10
0RF0431,105.0,0.11286089238845144,FANTA NAR ZER BIB10L (IN),600-064-10
0LT0030,58.0,0.11286089238845144,LETONA DESNATADA 0% 1L VR 12U,600-065-10
0VE0533,120.0,0.11023622047244094,PRIOR TINTO TEMPRANILLO 75CL 6U,600-066-10
0CF0058,77.0,0.11023622047244094,XPLICIT DESCAFEINADO 500GR,600-067-10
0RF0253,426.0,0.10761154855643044,COCACOLA ZER VNR20 C24,600-068-10
0RF0096,157.0,0.10761154855643044,POWERADE BLOOD OR PET50 C12,600-069-10
